Sketch1,Sketch2,Trial #,Method,Acc,Gamma Pick Rate,ypred +ve Count
1,2,1,kh_hyperparam,0.7,[0.35 0.25 0.4  0.  ],9
1,2,2,kh_hyperparam,0.65,[0.25 0.25 0.2  0.3 ],8
1,2,3,kh_hyperparam,0.85,[0.65 0.3  0.   0.05],8
1,2,4,kh_hyperparam,0.75,[0.45 0.5  0.05 0.  ],8
1,2,5,kh_hyperparam,0.85,[0.8  0.1  0.05 0.05],10
1,3,1,kh_hyperparam,0.65,[0.25 0.25 0.35 0.15],8
1,3,2,kh_hyperparam,0.7,[0.35 0.15 0.4  0.1 ],7
1,3,3,kh_hyperparam,0.7,[0.65 0.05 0.25 0.05],9
1,3,4,kh_hyperparam,0.7,[0.4  0.15 0.45 0.  ],9
1,3,5,kh_hyperparam,0.75,[0.45 0.25 0.25 0.05],8
2,1,1,kh_hyperparam,0.5,[0.5  0.35 0.05 0.1 ],7
2,1,2,kh_hyperparam,0.55,[0.8  0.15 0.05 0.  ],8
2,1,3,kh_hyperparam,0.7,[0.4  0.3  0.15 0.15],9
2,1,4,kh_hyperparam,0.6,[0.45 0.25 0.1  0.2 ],9
2,1,5,kh_hyperparam,0.6,[0.45 0.4  0.05 0.1 ],7
2,3,1,kh_hyperparam,0.75,[0.65 0.3  0.05 0.  ],6
2,3,2,kh_hyperparam,0.5,[0.65 0.15 0.2  0.  ],7
2,3,3,kh_hyperparam,0.6,[0.6 0.  0.4 0. ],7
2,3,4,kh_hyperparam,0.55,[0.65 0.15 0.15 0.05],6
2,3,5,kh_hyperparam,0.55,[0.6  0.1  0.25 0.05],6
3,1,1,kh_hyperparam,0.75,[0.5  0.25 0.2  0.05],8
3,1,2,kh_hyperparam,0.7,[0.55 0.15 0.25 0.05],11
3,1,3,kh_hyperparam,0.65,[0.35 0.35 0.25 0.05],10
3,1,4,kh_hyperparam,0.7,[0.45 0.2  0.1  0.25],7
3,1,5,kh_hyperparam,0.75,[0.35 0.25 0.2  0.2 ],8
3,2,1,kh_hyperparam,0.7,[0.4 0.2 0.1 0.3],9
3,2,2,kh_hyperparam,0.7,[0.6 0.1 0.1 0.2],11
3,2,3,kh_hyperparam,0.8,[0.5  0.15 0.15 0.2 ],9
3,2,4,kh_hyperparam,0.6,[0.6  0.1  0.15 0.15],7
3,2,5,kh_hyperparam,0.7,[0.6  0.25 0.1  0.05],7
