Sketch1,Sketch2,Trial #,Method,Acc,Gamma Pick Rate,ypred +ve Count
1,2,1,kh_hyperparam,0.45,[0.4  0.25 0.25 0.1 ],2
1,2,2,kh_hyperparam,0.55,[0.6 0.4 0.  0. ],8
1,2,3,kh_hyperparam,0.55,[0.55 0.15 0.1  0.2 ],10
1,2,4,kh_hyperparam,0.6,[0.65 0.2  0.05 0.1 ],9
1,2,5,kh_hyperparam,0.6,[0.55 0.25 0.1  0.1 ],7
1,3,1,kh_hyperparam,0.65,[0.3  0.35 0.25 0.1 ],6
1,3,2,kh_hyperparam,0.4,[0.2 0.5 0.1 0.2],11
1,3,3,kh_hyperparam,0.5,[0.6  0.25 0.1  0.05],7
1,3,4,kh_hyperparam,0.5,[0.55 0.2  0.15 0.1 ],1
1,3,5,kh_hyperparam,0.6,[0.4 0.3 0.2 0.1],5
2,1,1,kh_hyperparam,0.55,[0.4  0.15 0.2  0.25],4
2,1,2,kh_hyperparam,0.45,[0.4  0.25 0.15 0.2 ],4
2,1,3,kh_hyperparam,0.55,[0.3  0.35 0.2  0.15],6
2,1,4,kh_hyperparam,0.6,[0.45 0.1  0.25 0.2 ],7
2,1,5,kh_hyperparam,0.5,[0.3 0.2 0.4 0.1],5
2,3,1,kh_hyperparam,0.4,[0.3  0.05 0.5  0.15],5
2,3,2,kh_hyperparam,0.6,[0.7 0.1 0.1 0.1],5
2,3,3,kh_hyperparam,0.55,[0.55 0.25 0.1  0.1 ],6
2,3,4,kh_hyperparam,0.6,[0.3  0.35 0.25 0.1 ],5
2,3,5,kh_hyperparam,0.45,[0.4 0.4 0.1 0.1],4
3,1,1,kh_hyperparam,0.6,[0.35 0.15 0.2  0.3 ],3
3,1,2,kh_hyperparam,0.55,[0.35 0.1  0.35 0.2 ],6
3,1,3,kh_hyperparam,0.5,[0.5  0.15 0.1  0.25],5
3,1,4,kh_hyperparam,0.45,[0.35 0.3  0.2  0.15],6
3,1,5,kh_hyperparam,0.45,[0.15 0.35 0.4  0.1 ],4
3,2,1,kh_hyperparam,0.55,[0.45 0.3  0.2  0.05],2
3,2,2,kh_hyperparam,0.5,[0.45 0.35 0.2  0.  ],7
3,2,3,kh_hyperparam,0.35,[0.5  0.35 0.1  0.05],8
3,2,4,kh_hyperparam,0.55,[0.75 0.1  0.15 0.  ],4
3,2,5,kh_hyperparam,0.55,[0.65 0.25 0.05 0.05],6
