Sketch1,Sketch2,Trial #,Method,Acc,Gamma Pick Rate,ypred +ve Count
1,2,1,kh_hyperparam,0.6,[0.35 0.3  0.05 0.3 ],7
1,2,2,kh_hyperparam,0.6,[0.85 0.05 0.1  0.  ],7
1,2,3,kh_hyperparam,0.7,[0.7 0.  0.2 0.1],7
1,2,4,kh_hyperparam,0.6,[0.3  0.3  0.25 0.15],7
1,2,5,kh_hyperparam,0.75,[0.55 0.2  0.15 0.1 ],10
1,3,1,kh_hyperparam,0.7,[0.35 0.2  0.3  0.15],9
1,3,2,kh_hyperparam,0.5,[0.85 0.   0.1  0.05],7
1,3,3,kh_hyperparam,0.55,[0.75 0.15 0.1  0.  ],6
1,3,4,kh_hyperparam,0.45,[0.3  0.25 0.45 0.  ],8
1,3,5,kh_hyperparam,0.6,[0.3 0.2 0.5 0. ],5
2,1,1,kh_hyperparam,0.5,[0.65 0.15 0.1  0.1 ],7
2,1,2,kh_hyperparam,0.5,[0.75 0.1  0.15 0.  ],5
2,1,3,kh_hyperparam,0.5,[0.5  0.15 0.2  0.15],5
2,1,4,kh_hyperparam,0.55,[0.55 0.25 0.1  0.1 ],8
2,1,5,kh_hyperparam,0.55,[0.5  0.15 0.15 0.2 ],6
2,3,1,kh_hyperparam,0.7,[0.35 0.3  0.3  0.05],9
2,3,2,kh_hyperparam,0.45,[0.5  0.4  0.05 0.05],4
2,3,3,kh_hyperparam,0.65,[0.4  0.3  0.25 0.05],6
2,3,4,kh_hyperparam,0.75,[0.65 0.   0.3  0.05],8
2,3,5,kh_hyperparam,0.5,[0.5  0.25 0.05 0.2 ],5
3,1,1,kh_hyperparam,0.65,[0.25 0.3  0.1  0.35],8
3,1,2,kh_hyperparam,0.55,[0.2 0.3 0.3 0.2],8
3,1,3,kh_hyperparam,0.6,[0.4  0.2  0.25 0.15],5
3,1,4,kh_hyperparam,0.45,[0.5 0.2 0.3 0. ],8
3,1,5,kh_hyperparam,0.5,[0.4  0.3  0.25 0.05],7
3,2,1,kh_hyperparam,0.65,[0.25 0.25 0.4  0.1 ],6
3,2,2,kh_hyperparam,0.65,[0.45 0.05 0.4  0.1 ],8
3,2,3,kh_hyperparam,0.6,[0.85 0.   0.1  0.05],7
3,2,4,kh_hyperparam,0.65,[0.45 0.25 0.15 0.15],8
3,2,5,kh_hyperparam,0.75,[0.45 0.15 0.1  0.3 ],8
