Sketch1,Sketch2,Trial #,Method,Acc,Gamma Pick Rate,ypred +ve Count
1,2,1,kh_hyperparam,0.6,[0.75 0.2  0.05 0.  ],3
1,2,2,kh_hyperparam,0.6,[0.5  0.15 0.2  0.15],5
1,2,3,kh_hyperparam,0.5,[0.4  0.25 0.25 0.1 ],5
1,2,4,kh_hyperparam,0.65,[0.3  0.25 0.45 0.  ],6
1,2,5,kh_hyperparam,0.6,[0.55 0.35 0.1  0.  ],7
1,3,1,kh_hyperparam,0.5,[0.7 0.2 0.1 0. ],3
1,3,2,kh_hyperparam,0.6,[0.8  0.05 0.1  0.05],5
1,3,3,kh_hyperparam,0.75,[0.7  0.15 0.1  0.05],6
1,3,4,kh_hyperparam,0.55,[0.85 0.1  0.05 0.  ],6
1,3,5,kh_hyperparam,0.55,[0.7  0.2  0.05 0.05],4
2,1,1,kh_hyperparam,0.75,[0.5  0.35 0.1  0.05],4
2,1,2,kh_hyperparam,0.6,[0.5  0.35 0.15 0.  ],5
2,1,3,kh_hyperparam,0.55,[0.4  0.5  0.05 0.05],2
2,1,4,kh_hyperparam,0.65,[0.5  0.35 0.15 0.  ],4
2,1,5,kh_hyperparam,0.55,[0.6  0.2  0.15 0.05],6
2,3,1,kh_hyperparam,0.6,[0.5 0.3 0.2 0. ],7
2,3,2,kh_hyperparam,0.55,[0.5  0.45 0.   0.05],4
2,3,3,kh_hyperparam,0.7,[0.45 0.35 0.2  0.  ],7
2,3,4,kh_hyperparam,0.7,[0.6  0.15 0.15 0.1 ],5
2,3,5,kh_hyperparam,0.65,[0.55 0.25 0.1  0.1 ],8
3,1,1,kh_hyperparam,0.65,[0.6  0.15 0.15 0.1 ],4
3,1,2,kh_hyperparam,0.6,[0.55 0.25 0.05 0.15],3
3,1,3,kh_hyperparam,0.55,[0.6  0.15 0.   0.25],6
3,1,4,kh_hyperparam,0.75,[0.55 0.25 0.1  0.1 ],4
3,1,5,kh_hyperparam,0.45,[0.35 0.35 0.2  0.1 ],6
3,2,1,kh_hyperparam,0.55,[0.55 0.1  0.2  0.15],6
3,2,2,kh_hyperparam,0.6,[0.45 0.3  0.2  0.05],5
3,2,3,kh_hyperparam,0.65,[0.6  0.15 0.1  0.15],4
3,2,4,kh_hyperparam,0.65,[0.7  0.05 0.2  0.05],4
3,2,5,kh_hyperparam,0.65,[0.55 0.25 0.15 0.05],4
