Sketch1,Sketch2,Trial #,Method,Acc,Gamma Pick Rate,ypred +ve Count
1,2,1,kh_hyperparam,0.6444444444444445,[0.33333333 0.26666667 0.13333333 0.26666667],23
1,2,2,kh_hyperparam,0.5777777777777777,[0.2        0.33333333 0.35555556 0.11111111],18
1,2,3,kh_hyperparam,0.5555555555555556,[0.48888889 0.35555556 0.         0.15555556],21
1,2,4,kh_hyperparam,0.5555555555555556,[0.2        0.2        0.31111111 0.28888889],21
1,2,5,kh_hyperparam,0.6222222222222222,[0.31111111 0.04444444 0.48888889 0.15555556],22
1,3,1,kh_hyperparam,0.6222222222222222,[0.62222222 0.22222222 0.04444444 0.11111111],22
1,3,2,kh_hyperparam,0.6222222222222222,[0.33333333 0.37777778 0.2        0.08888889],26
1,3,3,kh_hyperparam,0.6444444444444445,[0.33333333 0.17777778 0.13333333 0.35555556],21
1,3,4,kh_hyperparam,0.6888888888888889,[0.24444444 0.33333333 0.33333333 0.08888889],17
1,3,5,kh_hyperparam,0.6222222222222222,[0.37777778 0.22222222 0.15555556 0.24444444],22
2,1,1,kh_hyperparam,0.6,[0.46666667 0.2        0.22222222 0.11111111],17
2,1,2,kh_hyperparam,0.5333333333333333,[0.42222222 0.28888889 0.11111111 0.17777778],22
2,1,3,kh_hyperparam,0.6,[0.35555556 0.4        0.17777778 0.06666667],21
2,1,4,kh_hyperparam,0.5777777777777777,[0.31111111 0.28888889 0.08888889 0.31111111],22
2,1,5,kh_hyperparam,0.6,[0.11111111 0.68888889 0.11111111 0.08888889],21
2,3,1,kh_hyperparam,0.6222222222222222,[0.77777778 0.15555556 0.06666667 0.        ],22
2,3,2,kh_hyperparam,0.5555555555555556,[0.73333333 0.08888889 0.11111111 0.06666667],21
2,3,3,kh_hyperparam,0.6666666666666666,[0.17777778 0.4        0.15555556 0.26666667],24
2,3,4,kh_hyperparam,0.5555555555555556,[0.37777778 0.28888889 0.17777778 0.15555556],17
2,3,5,kh_hyperparam,0.5777777777777777,[0.35555556 0.08888889 0.4        0.15555556],16
3,1,1,kh_hyperparam,0.6222222222222222,[0.13333333 0.53333333 0.22222222 0.11111111],22
3,1,2,kh_hyperparam,0.6444444444444445,[0.57777778 0.24444444 0.13333333 0.04444444],19
3,1,3,kh_hyperparam,0.6,[0.4        0.22222222 0.24444444 0.13333333],21
3,1,4,kh_hyperparam,0.6222222222222222,[0.48888889 0.33333333 0.08888889 0.08888889],20
3,1,5,kh_hyperparam,0.6,[0.42222222 0.4        0.11111111 0.06666667],23
3,2,1,kh_hyperparam,0.6222222222222222,[0.28888889 0.02222222 0.64444444 0.04444444],22
3,2,2,kh_hyperparam,0.5333333333333333,[0.26666667 0.26666667 0.2        0.26666667],18
3,2,3,kh_hyperparam,0.5777777777777777,[0.55555556 0.17777778 0.24444444 0.02222222],18
3,2,4,kh_hyperparam,0.5555555555555556,[0.51111111 0.26666667 0.11111111 0.11111111],23
3,2,5,kh_hyperparam,0.5777777777777777,[0.17777778 0.44444444 0.37777778 0.        ],22
